value,datetime,datetime_utc,tz_time,geo_id,geo_name
148.14,2022-01-02T15:00:00.000+01:00,2022-01-02T14:00:00Z,2022-01-02T14:00:00.000Z,8744,Ceuta
148.14,2022-01-02T15:00:00.000+01:00,2022-01-02T14:00:00Z,2022-01-02T14:00:00.000Z,8745,Melilla
148.14,2022-01-02T15:00:00.000+01:00,2022-01-02T14:00:00Z,2022-01-02T14:00:00.000Z,8742,Canarias
159.93,2022-01-02T16:00:00.000+01:00,2022-01-02T15:00:00Z,2022-01-02T15:00:00.000Z,8743,Baleares
159.93,2022-01-02T16:00:00.000+01:00,2022-01-02T15:00:00Z,2022-01-02T15:00:00.000Z,8742,Canarias
159.93,2022-01-02T16:00:00.000+01:00,2022-01-02T15:00:00Z,2022-01-02T15:00:00.000Z,8744,Ceuta
159.93,2022-01-02T16:00:00.000+01:00,2022-01-02T15:00:00Z,2022-01-02T15:00:00.000Z,8745,Melilla
159.93,2022-01-02T16:00:00.000+01:00,2022-01-02T15:00:00Z,2022-01-02T15:00:00.000Z,8741,Península
210.37,2022-01-02T17:00:00.000+01:00,2022-01-02T16:00:00Z,2022-01-02T16:00:00.000Z,8744,Ceuta
210.37,2022-01-02T17:00:00.000+01:00,2022-01-02T16:00:00Z,2022-01-02T16:00:00.000Z,8742,Canarias
210.37,2022-01-02T17:00:00.000+01:00,2022-01-02T16:00:00Z,2022-01-02T16:00:00.000Z,8741,Península
210.37,2022-01-02T17:00:00.000+01:00,2022-01-02T16:00:00Z,2022-01-02T16:00:00.000Z,8745,Melilla
210.37,2022-01-02T17:00:00.000+01:00,2022-01-02T16:00:00Z,2022-01-02T16:00:00.000Z,8743,Baleares
252.85,2022-01-02T18:00:00.000+01:00,2022-01-02T17:00:00Z,2022-01-02T17:00:00.000Z,8742,Canarias
252.85,2022-01-02T18:00:00.000+01:00,2022-01-02T17:00:00Z,2022-01-02T17:00:00.000Z,8745,Melilla
252.85,2022-01-02T18:00:00.000+01:00,2022-01-02T17:00:00Z,2022-01-02T17:00:00.000Z,8741,Península
252.85,2022-01-02T18:00:00.000+01:00,2022-01-02T17:00:00Z,2022-01-02T17:00:00.000Z,8744,Ceuta
252.85,2022-01-02T18:00:00.000+01:00,2022-01-02T17:00:00Z,2022-01-02T17:00:00.000Z,8743,Baleares
255.34,2022-01-02T19:00:00.000+01:00,2022-01-02T18:00:00Z,2022-01-02T18:00:00.000Z,8744,Ceuta
255.34,2022-01-02T19:00:00.000+01:00,2022-01-02T18:00:00Z,2022-01-02T18:00:00.000Z,8745,Melilla
255.34,2022-01-02T19:00:00.000+01:00,2022-01-02T18:00:00Z,2022-01-02T18:00:00.000Z,8743,Baleares
255.34,2022-01-02T19:00:00.000+01:00,2022-01-02T18:00:00Z,2022-01-02T18:00:00.000Z,8742,Canarias
