datetime,Precio_Real,Prediccion_SARIMAX,Diferencia_SARIMAX,hour,month
2024-01-15 06:00:00,69.13,31.229461651774116,37.90053834822588,6,1
2024-01-15 07:00:00,86.74,34.770868201005854,51.96913179899414,7,1
2024-01-15 08:00:00,99.52,36.28624030375202,63.23375969624798,8,1
2024-01-15 09:00:00,100.33,39.5572696110824,60.7727303889176,9,1
2024-01-15 10:00:00,94.92,40.91554751715162,54.00445248284838,10,1
2024-01-15 11:00:00,90.3,36.00817927912537,54.291820720874625,11,1
2024-01-15 12:00:00,85.7,35.68875861450553,50.01124138549447,12,1
2024-01-15 13:00:00,82.41,31.882190228374224,50.52780977162577,13,1
2024-01-15 14:00:00,84.99,32.66398798623571,52.326012013764284,14,1
2024-01-15 15:00:00,90.1,35.5378670446099,54.5621329553901,15,1
2024-01-15 16:00:00,95.82,49.55523370066911,46.26476629933088,16,1
2024-01-15 17:00:00,100.0,69.52973526110941,30.47026473889059,17,1
2024-01-15 18:00:00,112.85,81.44322984503015,31.40677015496985,18,1
2024-01-15 19:00:00,113.9,96.06270225857784,17.837297741422162,19,1
2024-01-15 20:00:00,107.58,92.48715766969718,15.092842330302815,20,1
2024-01-15 21:00:00,100.0,86.70690688031874,13.29309311968126,21,1
2024-01-15 22:00:00,97.21,73.0690509456108,24.140949054389196,22,1
2024-01-15 23:00:00,91.0,65.08531081058908,25.91468918941092,23,1
2024-01-16 00:00:00,86.59,46.99050948581932,39.59949051418069,0,1
2024-01-16 01:00:00,83.33,38.854601937083665,44.475398062916334,1,1
2024-01-16 02:00:00,80.94,37.68472301128018,43.25527698871982,2,1
2024-01-16 03:00:00,78.65,33.261398611452776,45.38860138854723,3,1
2024-01-16 04:00:00,78.35,29.623945842244044,48.726054157755954,4,1
2024-01-16 05:00:00,80.37,29.457441964870565,50.912558035129436,5,1
2024-01-16 06:00:00,89.0,37.46886614043858,51.53113385956142,6,1
2024-01-16 07:00:00,101.0,44.782820516534485,56.217179483465515,7,1
2024-01-16 08:00:00,127.07,49.03120289752184,78.03879710247816,8,1
2024-01-16 09:00:00,120.18,52.95784844988932,67.22215155011068,9,1
2024-01-16 10:00:00,99.28,53.55842778906906,45.721572210930944,10,1
2024-01-16 11:00:00,91.69,47.77574760257229,43.91425239742771,11,1
2024-01-16 12:00:00,93.0,46.65539062882899,46.34460937117101,12,1
2024-01-16 13:00:00,89.42,41.38361471446918,48.03638528553082,13,1
2024-01-16 14:00:00,90.0,39.63712609495694,50.36287390504306,14,1
2024-01-16 15:00:00,88.0,42.3745250503606,45.6254749496394,15,1
2024-01-16 16:00:00,84.88,56.61894657432786,28.261053425672138,16,1
2024-01-16 17:00:00,88.0,75.23807616872332,12.761923831276675,17,1
2024-01-16 18:00:00,89.02,86.01418903553484,3.005810964465155,18,1
2024-01-16 19:00:00,99.49,100.6347888939912,-1.1447888939912048,19,1
2024-01-16 20:00:00,99.78,97.30475091825735,2.4752490817426462,20,1
2024-01-16 21:00:00,88.75,90.93435710771391,-2.1843571077139075,21,1
2024-01-16 22:00:00,75.99,75.6367019723083,0.35329802769169305,22,1
2024-01-16 23:00:00,60.0,67.63447727217793,-7.634477272177932,23,1
2024-01-17 00:00:00,19.13,50.70053974583238,-31.57053974583238,0,1
2024-01-17 01:00:00,15.93,42.05842898170534,-26.12842898170534,1,1
2024-01-17 02:00:00,6.0,40.917630656903114,-34.917630656903114,2,1
2024-01-17 03:00:00,4.9,36.30708873489604,-31.407088734896043,3,1
2024-01-17 04:00:00,4.9,32.88816032631546,-27.98816032631546,4,1
2024-01-17 05:00:00,5.0,32.62784310138068,-27.627843101380677,5,1
2024-01-17 06:00:00,16.7,40.4860437774401,-23.786043777440103,6,1
2024-01-17 07:00:00,44.2,47.28126270157707,-3.0812627015770673,7,1
2024-01-17 08:00:00,45.5,50.82877501521491,-5.328775015214909,8,1
2024-01-17 09:00:00,45.5,53.91485965191126,-8.414859651911257,9,1
